product_id,product_name,category,brand,unit_cost,unit_price,supplier
1,Sneakers,Apparel,Brand17,15.39,31.01,Supplier C
2,USB-C Cable Mini,Electronics,Brand22,22.79,35.98,Supplier D
3,Dumbbell Set,Sports & Outdoors,Brand2,235.57,507.54,Supplier J
4,Webcam V2,Electronics,Brand9,165.37,355.19,Supplier D
5,Office Chair Deluxe,Office Supplies,Brand21,80.6,136.89,Supplier E
6,Resistance Bands Lite,Sports & Outdoors,Brand20,232.47,628.51,Supplier J
7,Power Bank,Electronics,Brand12,135.8,279.59,Supplier B
8,Vacuum Cleaner Lite,Home & Kitchen,Brand10,73.39,143.64,Supplier J
9,Green Tea Box Deluxe,Groceries,Brand22,133.65,307.63,Supplier B
10,Blender Lite,Home & Kitchen,Brand9,31.51,46.02,Supplier E
11,Desk Organizer Pro,Office Supplies,Brand9,180.25,289.37,Supplier I
12,Shampoo Lite,Beauty & Personal Care,Brand14,226.62,582.22,Supplier E
13,Laptop Stand,Electronics,Brand6,85.39,127.76,Supplier L
14,Hiking Backpack Mini,Sports & Outdoors,Brand23,177.3,379.66,Supplier C
15,Hair Dryer,Beauty & Personal Care,Brand5,209.14,454.62,Supplier A
16,Jacket Lite,Apparel,Brand12,225.05,561.32,Supplier D
17,Building Blocks Set Pro,Toys & Games,Brand14,167.73,307.03,Supplier J
18,Action Figure Pro,Toys & Games,Brand6,231.66,383.42,Supplier G
19,Bluetooth Speaker Pro,Electronics,Brand22,184.93,332.56,Supplier L
20,Green Tea Box Pro,Groceries,Brand2,68.9,170.95,Supplier H
21,Cookware Set Pro,Home & Kitchen,Brand8,204.7,407.45,Supplier D
22,Bluetooth Speaker Deluxe,Electronics,Brand25,50.7,90.87,Supplier E
23,Cap Deluxe,Apparel,Brand11,128.82,298.77,Supplier A
24,Smart Watch Lite,Electronics,Brand4,47.11,129.26,Supplier J
25,Camping Tent Lite,Sports & Outdoors,Brand17,182.95,323.92,Supplier B
26,Yoga Mat Mini,Sports & Outdoors,Brand17,49.95,68.26,Supplier I
27,Building Blocks Set Deluxe,Toys & Games,Brand14,235.24,565.88,Supplier B
28,Office Chair Lite,Office Supplies,Brand10,156.92,360.14,Supplier I
29,Jacket Deluxe,Apparel,Brand5,103.87,197.73,Supplier D
30,Water Bottle Deluxe,Sports & Outdoors,Brand20,235.27,544.88,Supplier J
31,Jacket V2,Apparel,Brand14,138.34,179.93,Supplier J
32,Desk Organizer Deluxe,Office Supplies,Brand17,82.6,162.12,Supplier H
33,Pasta Pack XL,Groceries,Brand22,184.78,422.83,Supplier K
34,Ballpoint Pens (12pk) Lite,Office Supplies,Brand10,26.07,71.12,Supplier D
35,Green Tea Box Pro,Groceries,Brand20,39.4,53.95,Supplier B
36,Resistance Bands V2,Sports & Outdoors,Brand13,221.88,480.04,Supplier H
37,Dumbbell Set Pro,Sports & Outdoors,Brand25,39.45,91.98,Supplier B
38,Olive Oil V2,Groceries,Brand15,57.05,142.98,Supplier A
39,Sunscreen Pro,Beauty & Personal Care,Brand15,229.62,340.31,Supplier K
40,Electric Toothbrush Mini,Beauty & Personal Care,Brand20,150.08,408.98,Supplier L
41,Face Moisturizer V2,Beauty & Personal Care,Brand24,208.15,441.65,Supplier H
42,Hiking Backpack Lite,Sports & Outdoors,Brand25,188.69,483.01,Supplier I
43,Shampoo Deluxe,Beauty & Personal Care,Brand8,62.09,121.68,Supplier E
44,Socks Pack Lite,Apparel,Brand13,223.58,317.68,Supplier L
45,Coffee Maker Deluxe,Home & Kitchen,Brand15,55.85,107.36,Supplier G
46,USB-C Cable Pro,Electronics,Brand23,208.72,393.27,Supplier A
47,Organic Coffee Beans Mini,Groceries,Brand25,96.95,126.89,Supplier G
48,Water Bottle Mini,Sports & Outdoors,Brand8,187.64,397.65,Supplier H
49,Cookware Set Lite,Home & Kitchen,Brand22,110.65,148.66,Supplier G
50,RC Car Pro,Toys & Games,Brand18,210.6,564.26,Supplier A
51,Dumbbell Set Mini,Sports & Outdoors,Brand5,142.4,190.91,Supplier H
52,Cutting Board,Home & Kitchen,Brand11,67.26,120.46,Supplier G
53,Jeans XL,Apparel,Brand16,237.95,459.8,Supplier A
54,Action Figure Mini,Toys & Games,Brand3,15.87,43.29,Supplier K
55,Laptop Stand XL,Electronics,Brand20,10.66,17.81,Supplier C
56,Vacuum Cleaner Pro,Home & Kitchen,Brand15,119.97,176.55,Supplier L
57,T-Shirt XL,Apparel,Brand23,94.12,207.9,Supplier B
58,Olive Oil XL,Groceries,Brand10,43.45,76.76,Supplier J
59,Building Blocks Set V2,Toys & Games,Brand23,100.97,239.55,Supplier K
60,Vacuum Cleaner,Home & Kitchen,Brand4,175.21,307.03,Supplier J
61,Pasta Pack,Groceries,Brand17,88.76,172.42,Supplier K
62,Socks Pack,Apparel,Brand12,212.85,539.25,Supplier K
63,Resistance Bands Deluxe,Sports & Outdoors,Brand21,40.79,63.8,Supplier E
64,Ballpoint Pens (12pk) XL,Office Supplies,Brand24,230.15,566.62,Supplier J
65,Jeans Lite,Apparel,Brand15,213.37,543.26,Supplier D
66,Organic Coffee Beans V2,Groceries,Brand16,143.75,330.95,Supplier F
67,Cutting Board V2,Home & Kitchen,Brand20,55.39,138.29,Supplier L
68,Jeans Mini,Apparel,Brand24,5.51,15.0,Supplier G
69,Shampoo Mini,Beauty & Personal Care,Brand16,190.27,444.45,Supplier H
70,Pasta Pack,Groceries,Brand10,25.98,42.41,Supplier K
71,Notebook Lite,Office Supplies,Brand24,119.9,251.36,Supplier I
72,Socks Pack Lite,Apparel,Brand4,176.61,301.36,Supplier L
73,Knife Set Lite,Home & Kitchen,Brand6,32.53,68.44,Supplier D
74,Toaster Deluxe,Home & Kitchen,Brand17,122.6,292.63,Supplier J
75,Hoodie,Apparel,Brand10,208.66,363.98,Supplier A
76,Puzzle 1000pc Mini,Toys & Games,Brand10,34.27,46.89,Supplier L
77,Blender Deluxe,Home & Kitchen,Brand19,217.51,442.92,Supplier E
78,Bicycle Helmet V2,Sports & Outdoors,Brand16,111.8,176.26,Supplier B
79,Almond Butter,Groceries,Brand2,101.97,143.89,Supplier C
80,Coffee Maker XL,Home & Kitchen,Brand4,142.02,249.35,Supplier I
81,Organic Coffee Beans V2,Groceries,Brand17,152.76,379.78,Supplier G
82,Hiking Backpack V2,Sports & Outdoors,Brand19,76.45,166.87,Supplier J
83,USB-C Cable Mini,Electronics,Brand21,240.15,347.94,Supplier D
84,T-Shirt Deluxe,Apparel,Brand6,23.05,38.26,Supplier A
85,Water Bottle V2,Sports & Outdoors,Brand10,173.27,347.38,Supplier L
86,Hoodie Deluxe,Apparel,Brand9,215.32,302.91,Supplier K
87,Notebook Deluxe,Office Supplies,Brand8,201.56,321.84,Supplier K
88,Coffee Maker Lite,Home & Kitchen,Brand10,207.18,291.53,Supplier J
89,Action Figure XL,Toys & Games,Brand23,143.59,248.83,Supplier E
90,Board Game V2,Toys & Games,Brand3,235.84,483.64,Supplier J
91,Laptop Stand V2,Electronics,Brand8,184.43,406.77,Supplier K
92,Perfume Mini,Beauty & Personal Care,Brand9,237.84,665.8,Supplier J
93,Laptop Stand XL,Electronics,Brand9,189.8,380.69,Supplier C
94,Notebook V2,Office Supplies,Brand12,159.79,325.59,Supplier G
95,Socks Pack Lite,Apparel,Brand23,168.52,435.89,Supplier H
